ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Concept_in_Source,Borrowing
BozoTiemaCewe-62_cry-1,1685,BozoTiemaCewe,62_cry,guo,guo,ɡ u o,,Hantgan2022,2685,,,,,1374
Soninke-62_cry-1,1686,Soninke,62_cry,wú,wú,w ⁵/u,,Hantgan2022,2684,,,,,1372
Gourou-62_cry-1,1687,Gourou,62_cry,ɛ́:ⁿ,ɛ́:ⁿ,⁵/ɛ̃ː,,Hantgan2022,439,,,,,38
Jamsay-62_cry-1,1688,Jamsay,62_cry,ɛ̌:ⁿ,ɛ̌:ⁿ,¹⁵/ɛ̃ː,,Hantgan2022,439,,,,,38
Jamsay-62_cry-2,1689,Jamsay,62_cry,"ɛ̌:ⁿ, pé:",pé:,p ⁵/eː,,Hantgan2022,438,,,,,0
TogoKan-62_cry-1,1690,TogoKan,62_cry,kɔ́:ⁿ,kɔ́:ⁿ,k ɔ̃ː,,Hantgan2022,437,,,,,1374
TiranigeDiga-62_cry-1,1691,TiranigeDiga,62_cry,kɔ́mɔ́,kɔ́mɔ́,k ⁵/ɔ m ⁵/ɔ,,Hantgan2022,437,,,,,1374
Nanga-62_cry-1,1692,Nanga,62_cry,kóyó,kóyó,k ⁵/o j ⁵/o,,Hantgan2022,437,,,,,1374
PergeTegu-62_cry-1,1693,PergeTegu,62_cry,kóyó,kóyó,k ⁵/o j ⁵/o,,Hantgan2022,437,,,,,1374
BonduSo-62_cry-1,1694,BonduSo,62_cry,ɲɛ́\\ɲɛ̀,ɲɛ́,ɲ ⁵/ɛ,,Hantgan2022,435,,,,,0
Bunoge-62_cry-1,1695,Bunoge,62_cry,pê:,pê:,p ⁵¹/eː,,Hantgan2022,438,,,,,0
YornoSo-62_cry-1,1696,YornoSo,62_cry,"pí:-\\pí:, yé:-\\yé: xxx[chaining]",pí:,p ⁵/iː,,Hantgan2022,438,,,,,0
YornoSo-62_cry-2,1697,YornoSo,62_cry,"pí:-\\pí:, yé:-\\yé: xxx[chaining]",yé:,j ⁵/eː,,Hantgan2022,433,,,,,0
TommoSo-62_cry-1,1698,TommoSo,62_cry,píyé,píyé,p ⁵/i j ⁵/e,,Hantgan2022,438,,,,,0
Mombo-62_cry-1,1699,Mombo,62_cry,wɛ́:,wɛ́:,w ⁵/ɛː,,Hantgan2022,436,,,,,1372
Penange-62_cry-1,1700,Penange,62_cry,wwɛ́:,wwɛ́:,w w ⁵/ɛː,,Hantgan2022,436,,,,,1372
DonnoSo-62_cry-1,1701,DonnoSo,62_cry,yǎ:\\yá-ỳ,yǎ:,j ¹⁵/aː,,Hantgan2022,433,,,,,0
BenTey-62_cry-1,1702,BenTey,62_cry,yɔ́,yɔ́,j ⁵/ɔ,,Hantgan2022,433,,,,,0
BankanTey-62_cry-1,1703,BankanTey,62_cry,yɔ́,yɔ́,j ⁵/ɔ,,Hantgan2022,433,,,,,0
DogulDom-62_cry-1,1704,DogulDom,62_cry,yɛ̂:,yɛ̂:,j ⁵¹/ɛː,,Hantgan2022,433,,,,,0
YandaDom-62_cry-1,1705,YandaDom,62_cry,yɛ́\\yá-lì,yɛ́,j ⁵/ɛ,,Hantgan2022,433,,,,,0
ToroTegu-62_cry-1,1706,ToroTegu,62_cry,"yí\\yɛ́, pí\\pé",yí,j ⁵/i,,Hantgan2022,433,,,,,0
ToroTegu-62_cry-2,1707,ToroTegu,62_cry,pí,yí,j ⁵/i,,Hantgan2022,433,,,,,0
SonghaiSenni-62_cry-1,1708,SonghaiSenni,62_cry,hé:ⁿ,hé:ⁿ,h ⁵/ẽː,,Hantgan2022,3578,,,,,38
BonduSo-62_cry-2,1709,BonduSo,62_cry,ɲǎŋ,ɲǎŋ,n ¹⁵/aː ŋ,,Hantgan2022,435,,,,,0
TogoKan-63_daynotnight-1,1710,TogoKan,63_daynotnight,"nùŋú ná:, ìsìgɛ́",nùŋú_ná:,n ¹/u ŋ ⁵/u + n ⁵/aː,,Hantgan2022,450,,,,,0
Bangime-63_daynotnight-1,1711,Bangime,63_daynotnight,nìjɛ̀ (2),nìjɛ̀,n ¹/i j ¹/ɛ,,Hantgan2022,2336,,,,,0
Fulfulde-63_daynotnight-1,1712,Fulfulde,63_daynotnight,ɲande,ɲande,ɲ a ⁿd e,,Hantgan2022,19,,,,,0
PergeTegu-63_daynotnight-1,1713,PergeTegu,63_daynotnight,dɛ́gú,dɛ́gú,d ⁵/ɛ ɡ ⁵/u,,Hantgan2022,447,,,,,0
Bambara-63_daynotnight-1,1714,Bambara,63_daynotnight,tìlé,tìlé,t ¹/i l ⁵/e,,Hantgan2022,2686,,,,,1392
Jenaama-63_daynotnight-1,1715,Jenaama,63_daynotnight,kùgù,kùgù,k ¹/u ɡ ¹/u,,Hantgan2022,2688,,,,,0
BankanTey-63_daynotnight-1,1716,BankanTey,63_daynotnight,ùsǐ:ⁿ,ùsǐ:ⁿ,¹/u s ĩ:,,Hantgan2022,442,,,,,0
BenTey-63_daynotnight-1,1717,BenTey,63_daynotnight,ùsù-dérⁿí:,ùsù-dérⁿí:,¹/u s ¹/u + d ⁵/e r̃ ⁵/iː,,Hantgan2022,442,,,,,0
DogulDom-63_daynotnight-1,1718,DogulDom,63_daynotnight,ísgà:,ísgà:,⁵/i s + ɡ ¹/aː,,Hantgan2022,444,,,,,0
Gourou-63_daynotnight-1,1719,Gourou,63_daynotnight,nì-núwⁿò,nì-núwⁿò,n ¹/i + n ⁵/u ∼/w̃ ¹/o,,Hantgan2022,446,,,,,0
BonduSo-63_daynotnight-1,1720,BonduSo,63_daynotnight,ùjú,ùjú,¹/u dʒ ⁵/u,,Hantgan2022,443,,,,,0
Nanga-63_daynotnight-1,1721,Nanga,63_daynotnight,ùsì-dɛ́rⁿí,ùsì-dɛ́rⁿí,¹/u s ¹/i + d ⁵/ɛ ∼/r̃ ⁵/i,,Hantgan2022,442,,,,,0
TebulUre-63_daynotnight-1,1722,TebulUre,63_daynotnight,ùdú,ùdú,¹/u d ⁵/u,,Hantgan2022,443,,,,,0
TommoSo-63_daynotnight-1,1723,TommoSo,63_daynotnight,"àgá, báy yáá",báy_yáá,b ⁵/a j + j ⁵/aː,,Hantgan2022,451,,,,,0
ToroTegu-63_daynotnight-1,1724,ToroTegu,63_daynotnight,nùŋùlɔ́,nùŋùlɔ́,n ¹/u ŋ ¹/u + l ⁵/ɔ,,Hantgan2022,450,,,,,0
YandaDom-63_daynotnight-1,1725,YandaDom,63_daynotnight,dèrⁿìŋ,dèrⁿìŋ,d ¹/e r̃ ¹/i + ŋ,,Hantgan2022,441,,,,,1392
YornoSo-63_daynotnight-1,1726,YornoSo,63_daynotnight,dɛ̌n,dɛ̌n,d ¹⁵/ɛ + n,,Hantgan2022,452,,,,,0
Mombo-63_daynotnight-1,1727,Mombo,63_daynotnight,gé:wⁿè,gé:wⁿè,ɡ ⁵/eː ∼/w̃ ¹/e,,Hantgan2022,448,,,,,0
DonnoSo-63_daynotnight-1,1728,DonnoSo,63_daynotnight,nàn-dènú,nàn-dènú,n ¹/a n + d ¹/e n ⁵/u,,Hantgan2022,445,,,,,0
Jamsay-63_daynotnight-1,1729,Jamsay,63_daynotnight,nì-núwⁿó~ nì-núwⁿɔ́ ~ nù-núwⁿó,nì-núwⁿó,n ¹/i + n ⁵/u ∼/w̃ ⁵/o,,Hantgan2022,446,,,,,0
Penange-63_daynotnight-1,1730,Penange,63_daynotnight,"gɛ̀:ⁿ_(in:_gɛ̀:ⁿ_nì_'in_the_daytime',_lit._'with_sun'),_gɛ̀:dɛ̀n",gɛ̀:ⁿ,ɡ ∼/ɛː,,Hantgan2022,448,,,,,0
TiranigeDiga-63_daynotnight-1,1731,TiranigeDiga,63_daynotnight,"dè:ŋgú_(Boui),_dɛ̀nìgí_(Ningo)",dè:ŋgú,d ¹/eː ⁿɡ ⁵/u,,Hantgan2022,447,,,,,0
SonghaiSenni-63_daynotnight-1,1732,SonghaiSenni,63_daynotnight,zá:níy-ó,zá:níy-ó,z ⁵/aː n ⁵/i j + ⁵/o,,Hantgan2022,3579,,,,,0
SonghaiSenni-64_dew-1,1733,SonghaiSenni,64_dew,hárándáŋ-ó ~ hárándéŋ-ó,hárándáŋ-ó,h ⁵/a r ⁵/a ⁿd ⁵/a ŋ + ⁵/o,,Hantgan2022,3580,,,,,0
ToroTegu-64_dew-1,1734,ToroTegu,64_dew,àrándáŋ,àrándáŋ,¹/a r ⁵/a ⁿd ⁵/a + ŋ,,Hantgan2022,454,,,,,0
BenTey-64_dew-1,1735,BenTey,64_dew,"ìrè-nî:, èrè-nî:",ìrè-nî:,¹/i r ¹/e + n ⁵¹/iː,,Hantgan2022,454,,,,,0
BankanTey-64_dew-1,1736,BankanTey,64_dew,"èrèrěy, sáwàndɛ́:rɛ̀",èrèrěy,¹/e r ¹/e + r ¹⁵/e + j,,Hantgan2022,453,,,,,0
Nanga-64_dew-1,1737,Nanga,64_dew,nì:-sǒ:rô,nì:sǒ:rô,n ¹/iː + s ¹⁵/oː r ⁵¹/o,,Hantgan2022,460,,,,,0
PergeTegu-64_dew-1,1738,PergeTegu,64_dew,òmdò-ní:,òmdò-ní:,¹/o ⁿd ¹/o + n ⁵/iː,,Hantgan2022,454,,,,,0
Gourou-64_dew-1,1739,Gourou,64_dew,òmnò ní:,òmnò-ní:,¹/o m n ¹/o + n ⁵/iː,,Hantgan2022,459,,,,,0
TogoKan-64_dew-1,1740,TogoKan,64_dew,òrùmò-dí:,òrùmò-dí:,¹/o r ¹/u m ¹/o + d ⁵/iː,,Hantgan2022,462,,,,,0
YornoSo-64_dew-1,1741,YornoSo,64_dew,wòbú,wòbú,w ¹/o b ⁵/u,,Hantgan2022,456,,,,,1419
TommoSo-64_dew-1,1742,TommoSo,64_dew,wòòbú,wòòbú,w ¹/oː b ⁵/u,,Hantgan2022,456,,,,,1419
DogulDom-64_dew-1,1743,DogulDom,64_dew,òlò-òló,òlò-òló,¹/o l ¹/o + ¹/o l ⁵/o,,Hantgan2022,455,,,,,0
TebulUre-64_dew-1,1744,TebulUre,64_dew,è:lé:,è:lé:,¹/eː l ⁵/eː,,Hantgan2022,455,,,,,0
YandaDom-64_dew-1,1745,YandaDom,64_dew,è-èl,è-èl,¹/e + ¹/e l,,Hantgan2022,463,,,,,0
BonduSo-64_dew-1,1746,BonduSo,64_dew,èlǎ:,èlǎ:,¹/e l ¹⁵/aː,,Hantgan2022,455,,,,,0
Bunoge-64_dew-1,1747,Bunoge,64_dew,ʔíwól-gɔ̀,ʔíwól-gɔ̀,ʔ ⁵/i w ⁵/o l + ɡ ¹/ɔ,,Hantgan2022,458,,,,,0
Jamsay-64_dew-1,1748,Jamsay,64_dew,òmnò-ní:,òmnò-ní:,¹/o m n ¹/o + n ⁵/iː,,Hantgan2022,459,,,,,0
DonnoSo-64_dew-1,1749,DonnoSo,64_dew,wò:bú,wò:bú,w ¹/oː b ⁵/u,,Hantgan2022,456,,,,,1419
TiranigeDiga-64_dew-1,1750,TiranigeDiga,64_dew,élélé,élélé,⁵/e l + ⁵/e l ⁵/e,,Hantgan2022,455,,,,,0
Mombo-64_dew-1,1751,Mombo,64_dew,élélè // èlèlè mí:,élélè,⁵/e l + ⁵/e l ¹/e,,Hantgan2022,455,,,,,0
Penange-64_dew-1,1752,Penange,64_dew,èlèlè-mî:,èlèlè-mî:,¹/e l + ¹/e l ¹/e + m ⁵¹/iː,,Hantgan2022,455,,,,,0
Bangime-64_dew-1,1753,Bangime,64_dew,mììŋɡá,mììŋɡá,m ¹/iː ⁿɡ ⁵/a,,Hantgan2022,2338,,,,,0
Fulfulde-64_dew-1,1754,Fulfulde,64_dew,sawandere,sawande-re,s a w a ⁿd e + r e,,Hantgan2022,20,,,,,0
Jenaama-64_dew-1,1755,Jenaama,64_dew,púújī,púújī,p ⁵/uː dʒ ³/i,,Hantgan2022,2690,,,,,0
BozoTieyaxo-64_dew-1,1756,BozoTieyaxo,64_dew,job̰o,job̰o,dʒ õ b o,,Hantgan2022,2689,,,,,1419
BozoTiemaCewe-64_dew-1,1757,BozoTiemaCewe,64_dew,joⁿbo,joⁿbo,dʒ õ b o,,Hantgan2022,2689,,,,,1419
ToroSo-64_dew-1,1758,ToroSo,64_dew,wòòbú,wòòbú,w ¹/oː b ⁵/u,,Hantgan2022,456,,,,,1419
BonduSo-64_dew-2,1759,BonduSo,64_dew,ɛ́làà,ɛ́làà,⁵/ɛ l ¹/aː,,Hantgan2022,455,,,,,0
ToroTegu-65_die-1,1760,ToroTegu,65_die,núm,núm,n ⁵/u + m,,Hantgan2022,469,,,,,0
BenTey-65_die-1,1761,BenTey,65_die,tíwɛ́,tíwɛ́,t ⁵/i w ⁵/ɛ,,Hantgan2022,465,,,,,0
Nanga-65_die-1,1762,Nanga,65_die,túwɛ́ ~ tíwɛ́,túwɛ́,t ⁵/u w ⁵/ɛ,,Hantgan2022,465,,,,,0
PergeTegu-65_die-1,1763,PergeTegu,65_die,núwⁿó,núwⁿó,n ⁵/u ∼/w̃ ⁵/o,,Hantgan2022,469,,,,,0
YornoSo-65_die-1,1764,YornoSo,65_die,yíwⁿɛ́-,yíwⁿɛ́,j ⁵/i ∼/w̃ ⁵/ɛ,,Hantgan2022,466,,,,,16
TommoSo-65_die-1,1765,TommoSo,65_die,yímɛ́,yímɛ́,j ⁵/i m ⁵/ɛ,,Hantgan2022,466,,,,,16
DogulDom-65_die-1,1766,DogulDom,65_die,tìbɛ́,tìbɛ́,t ¹/i b ⁵/ɛ,,Hantgan2022,465,,,,,0
TebulUre-65_die-1,1767,TebulUre,65_die,tíbɛ́ (tíb-à:y),tíbɛ́,t ⁵/i b ⁵/ɛ,,Hantgan2022,465,,,,,0
YandaDom-65_die-1,1768,YandaDom,65_die,tíbɛ́,tíbɛ́,t ⁵/i b ⁵/ɛ,,Hantgan2022,465,,,,,0
Ampari-65_die-1,1769,Ampari,65_die,"dɔ̂: (dɔ̯ɛ́, dɔ̯ɛ́:-rí",dɔ̂:,d ⁵¹/ɔː,,Hantgan2022,465,,,,,0
Bunoge-65_die-1,1770,Bunoge,65_die,dɔ́:wɛ̀,dɔ́:wɛ̀,d ɔː w ¹/ɛ,,Hantgan2022,465,,,,,0
DonnoSo-65_die-1,1771,DonnoSo,65_die,yímè,yímè,j ⁵/i m ¹/e,,Hantgan2022,466,,,,,16
TomoKan-65_die-1,1772,TomoKan,65_die,nùmí,nùmí,n ¹/u m ⁵/i,,Hantgan2022,469,,,,,0
TiranigeDiga-65_die-1,1773,TiranigeDiga,65_die,"tíwɔ́ (Boui), tíbɔ́ (Ningo)",tíwɔ́,t ⁵/i w ⁵/ɔ,,Hantgan2022,465,,,,,0
Mombo-65_die-1,1774,Mombo,65_die,máré // dwɛ́:,máré,m ⁵/a r ⁵/e,,Hantgan2022,468,,,,,39
Penange-65_die-1,1775,Penange,65_die,"dɔ́gɛ́ (animal), ŋkíndɛ̀ (human)",dɔ́gɛ́,d ⁵/ɔ ɡ ⁵/ɛ,,Hantgan2022,465,,,,,0
Bangime-65_die-1,1776,Bangime,65_die,jā-wɔ̀,jā-wɔ̀,j ³/a + w ¹/ɔ,,Hantgan2022,2339,,,,,16
Fulfulde-65_die-1,1777,Fulfulde,65_die,maayde,maay-de,m aː j + d e,,Hantgan2022,21,,,,,39
Jenaama-65_die-1,1778,Jenaama,65_die,wà,wà,w ¹/a,,Hantgan2022,2695,,,,,0
Jamsay-65_die-1,1779,Jamsay,65_die,núwⁿó,núwⁿó,n ⁵/u ∼/w̃ ⁵/o,,Hantgan2022,469,,,,,0
BonduSo-65_die-1,1780,BonduSo,65_die,tíbɛ́,tíbɛ́,t ⁵/i b ⁵/ɛ,,Hantgan2022,465,,,,,0
BankanTey-65_die-1,1781,BankanTey,65_die,tíwɛ́,tíwɛ́,t ⁵/i w ⁵/ɛ,,Hantgan2022,465,,,,,0
TogoKan-65_die-1,1782,TogoKan,65_die,nú:,nú:,n ⁵/uː,,Hantgan2022,469,,,,,0
Bambara-65_die-1,1783,Bambara,65_die,báⁿ,báⁿ,b ⁵/ã,,Hantgan2022,2691,,,,,0
Bambara-65_die-2,1784,Bambara,65_die,ntányá,ntányá,ⁿt ⁵/a n + j ⁵/a,,Hantgan2022,2696,,,,,0
Bambara-65_die-3,1785,Bambara,65_die,sà,sà,s ¹/a,,Hantgan2022,2694,,,,,0
BozoDebo-65_die-1,1786,BozoDebo,65_die,kale,kale,k a l e,,Hantgan2022,2693,,,,,0
BozoHainyaxo-65_die-1,1787,BozoHainyaxo,65_die,saⁿŋoⁿ,saⁿŋoⁿ,s ã ŋ õ,,Hantgan2022,2694,,,,,0
BozoKorondougounord-65_die-1,1788,BozoKorondougounord,65_die,kale,kale,k a l e,,Hantgan2022,2693,,,,,0
BozoKorondougousud-65_die-1,1789,BozoKorondougousud,65_die,kale,kale,k a l e,,Hantgan2022,2693,,,,,0
BozoKotya-65_die-1,1790,BozoKotya,65_die,kale,kale,k a l e,,Hantgan2022,2693,,,,,0
BozoPondorinord-65_die-1,1791,BozoPondorinord,65_die,kale,kale,k a l e,,Hantgan2022,2693,,,,,0
BozoPondorisud-65_die-1,1792,BozoPondorisud,65_die,kari,kari,k a r i,,Hantgan2022,2693,,,,,0
BozoTieyaxo-65_die-1,1793,BozoTieyaxo,65_die,kale,kale,k a l e,,Hantgan2022,2693,,,,,0
BozoTiemaCewe-65_die-1,1794,BozoTiemaCewe,65_die,ca,ca,tʃ a,,Hantgan2022,2692,,,,,0
Soninke-65_die-1,1795,Soninke,65_die,kàrá,kàrá,k ¹/a r ⁵/a,,Hantgan2022,2693,,,,,0
SonghaiSenni-65_die-1,1796,SonghaiSenni,65_die,bú:,bú:,b ⁵/uː,,Hantgan2022,3582,,,,,0
ToroSo-65_die-1,1797,ToroSo,65_die,yííwⁿ,yííwⁿ,j ⁵/iː ∼/w̃,,Hantgan2022,466,,,,,16
ToroSo-65_die-2,1798,ToroSo,65_die,ɲíì,ɲíì,ɲ ⁵¹/iː,,Hantgan2022,469,,,,,0
BonduSo-65_die-2,1799,BonduSo,65_die,tíbɛ̀,tíbɛ̀,t ⁵/i b ¹/ɛ,,Hantgan2022,465,,,,,0
Bangime-66_dig-1,1800,Bangime,66_dig,kììndù,kììndù,k ¹/iː ⁿd ¹/u,,Hantgan2022,2340,,,,,1479
Fulfulde-66_dig-1,1801,Fulfulde,66_dig,asude,as-ude,a s + u d e,,Hantgan2022,23,,,,,0
Jenaama-66_dig-1,1802,Jenaama,66_dig,ā-sàgà,ā-sàgà,³/a + s ¹/a ɡ ¹/a,,Hantgan2022,2698,,,,,1484
TogoKan-66_dig-1,1803,TogoKan,66_dig,jǎ:,jǎ:,dʒ ¹⁵/aː,,Hantgan2022,473,,,,,1485
TommoSo-66_dig-1,1804,TommoSo,66_dig,gùló,gùló,ɡ ¹/u l ⁵/o,,Hantgan2022,470,,,,,1479
YornoSo-66_dig-1,1805,YornoSo,66_dig,gùló,gùló,ɡ ¹/u l ⁵/o,,Hantgan2022,470,,,,,1479
PergeTegu-66_dig-1,1806,PergeTegu,66_dig,gànjá,gànjá,ɡ ¹/a ⁿdʒ ⁵/a,,Hantgan2022,470,,,,,1479
Soninke-66_dig-1,1807,Soninke,66_dig,báájá,báájá,b ⁵/a: dʒ ⁵/a,,Hantgan2022,2697,,,,,1482
Soninke-66_dig-2,1808,Soninke,66_dig,jáábá,jáábá,dʒ ⁵/a: b ⁵/a,,Hantgan2022,2699,,,,,1485
SonghaiSenni-66_dig-1,1809,SonghaiSenni,66_dig,fánsí,fánsí,f ⁵/a n s ⁵/i,,Hantgan2022,3583,,,,,0
BankanTey-66_dig-1,1810,BankanTey,66_dig,gàzí,gàzí,ɡ ¹/a z ⁵/i,,Hantgan2022,470,,,,,1479
Bunoge-66_dig-1,1811,Bunoge,66_dig,gɔ́jɛ̀,gɔ́jɛ̀,ɡ ⁵/ɔ dʒ ¹/ɛ,,Hantgan2022,470,,,,,1479
DogulDom-66_dig-1,1812,DogulDom,66_dig,gànjé,gànjé,ɡ ¹/a ⁿdʒ ⁵/e,,Hantgan2022,470,,,,,1479
Gourou-66_dig-1,1813,Gourou,66_dig,zǎ:ⁿ,zǎ:ⁿ,z ∼/ãː,,Hantgan2022,472,,,,,1484
BonduSo-66_dig-1,1814,BonduSo,66_dig,gǔl,gǔl,ɡ ¹⁵/u l,,Hantgan2022,470,,,,,1479
Nanga-66_dig-1,1815,Nanga,66_dig,gànjí,gànjí,ɡ ¹/a ⁿdʒ ⁵/i,,Hantgan2022,470,,,,,1479
TebulUre-66_dig-1,1816,TebulUre,66_dig,gùló,gùló,ɡ ¹/u l ⁵/o,,Hantgan2022,470,,,,,1479
ToroTegu-66_dig-1,1817,ToroTegu,66_dig,gàsú,gàsú,ɡ ¹/a s ⁵/u,,Hantgan2022,470,,,,,1479
DonnoSo-66_dig-1,1818,DonnoSo,66_dig,wànjá,wànjá,w ¹/a ⁿdʒ ⁵/a,,Hantgan2022,471,,,,,1482
Jamsay-66_dig-1,1819,Jamsay,66_dig,jǎ:ⁿ,jǎ:ⁿ,dʒ ∼/ãː,,Hantgan2022,473,,,,,1485
Mombo-66_dig-1,1820,Mombo,66_dig,gánjé,gánjé,ɡ ⁵/a ⁿdʒ ⁵/e,,Hantgan2022,470,,,,,1479
Penange-66_dig-1,1821,Penange,66_dig,gájé,gájé,ɡ ⁵/a dʒ ⁵/e,,Hantgan2022,470,,,,,1479
TiranigeDiga-66_dig-1,1822,TiranigeDiga,66_dig,kɔ́lɔ́,kɔ́lɔ́,k ⁵/ɔ l ⁵/ɔ,,Hantgan2022,470,,,,,1479
ToroSo-66_dig-1,1823,ToroSo,66_dig,ɡùró,ɡùró,ɡ ¹/u r ⁵/o,,Hantgan2022,470,,,,,1479
BonduSo-66_dig-2,1824,BonduSo,66_dig,gánjé,gánjé,ɡ ⁵/a ⁿdʒ ⁵/e,,Hantgan2022,470,,,,,1479
ToroTegu-67_feedsomeonedinner-1,1825,ToroTegu,67_feedsomeonedinner,nè:sé,nè:sé,n ¹/eː s ⁵/e,,Hantgan2022,475,,,,,0
BenTey-67_feedsomeonedinner-1,1826,BenTey,67_feedsomeonedinner,"ɲàrⁿù-nùmjó, ɲà-nùmjó, nùmjó",ɲàrⁿù-nùmjó,ɲ ¹/a ∼/r̃ ¹/u + n ¹/u ⁿdʒ ⁵/o,,Hantgan2022,476,,,,,0
BankanTey-67_feedsomeonedinner-1,1827,BankanTey,67_feedsomeonedinner,nùmzó,nùmzó,n ¹/u m z ⁵/o,,Hantgan2022,475,,,,,0
Nanga-67_feedsomeonedinner-1,1828,Nanga,67_feedsomeonedinner,dɛ̀:ndɛ̀-pàndá,dɛ̀:ndɛ̀-pàndá,d ¹/ɛː ⁿd ¹/ɛ + p ¹/a ⁿd ⁵/a,,Hantgan2022,478,,,,,0
PergeTegu-67_feedsomeonedinner-1,1829,PergeTegu,67_feedsomeonedinner,"dɛ̀:gɛ̀-pàná, pàná",dɛ̀:gɛ̀-pàná,d ¹/ɛː ɡ ¹/ɛ + p ¹/a n ⁵/a,,Hantgan2022,478,,,,,0
Gourou-67_feedsomeonedinner-1,1830,Gourou,67_feedsomeonedinner,dà:ɣà pàná,dà:ɣà-pàná,d ¹/aː ɣ ¹/a + p ¹/a n ⁵/a,,Hantgan2022,478,,,,,0
TogoKan-67_feedsomeonedinner-1,1831,TogoKan,67_feedsomeonedinner,dàgà-pàná,dàgà-pàná,d ¹/a ɡ ¹/a + p ¹/a n ⁵/a,,Hantgan2022,478,,,,,0
YornoSo-67_feedsomeonedinner-1,1832,YornoSo,67_feedsomeonedinner,dìgɛ̀-pàná,dìgɛ̀-pàná,d ¹/i ɡ ¹/ɛ + p ¹/a n ⁵/a,,Hantgan2022,478,,,,,0
TommoSo-67_feedsomeonedinner-1,1833,TommoSo,67_feedsomeonedinner,dìgɛ̀ pànnú,dìgɛ̀-pànnú,d ¹/i ɡ ¹/ɛ + p ¹/a n n ⁵/u,,Hantgan2022,478,,,,,0
DogulDom-67_feedsomeonedinner-1,1834,DogulDom,67_feedsomeonedinner,dɛ̀ndùgà:-pàná,dɛ̀ndùgà:-pàná,d ¹/ɛ ⁿd ¹/u ɡ ¹/aː + p ¹/a n ⁵/a,,Hantgan2022,478,,,,,0
TebulUre-67_feedsomeonedinner-1,1835,TebulUre,67_feedsomeonedinner,dɛ̀ndɛ̀-nòmdó,dɛ̀ndɛ̀-nòmdó,d ¹/ɛ ⁿd ¹/ɛ + n ¹/o ⁿd ⁵/o,,Hantgan2022,478,,,,,0
YandaDom-67_feedsomeonedinner-1,1836,YandaDom,67_feedsomeonedinner,dèndà-pànù,dèndà-pànù,d ¹/e ⁿd ¹/a + p ¹/a n ¹/u,,Hantgan2022,478,,,,,0
BonduSo-67_feedsomeonedinner-1,1837,BonduSo,67_feedsomeonedinner,ɲɛ̀nɛ́-ŋgò,ɲɛ̀nɛ́-ŋgò,ɲ ¹/ɛ n ⁵/ɛ + ⁿɡ ¹/o,,Hantgan2022,477,,,,,0
Bunoge-67_feedsomeonedinner-1,1838,Bunoge,67_feedsomeonedinner,dèná-m-pànàŋgè,dèná-m-pànàŋgè,d ¹/e n ⁵/a + m + p ¹/a n ¹/a ⁿɡ ¹/e,,Hantgan2022,478,,,,,0
Jamsay-67_feedsomeonedinner-1,1839,Jamsay,67_feedsomeonedinner,pàná,pàná,p ¹/a n ⁵/a,,Hantgan2022,479,,,,,17
DonnoSo-67_feedsomeonedinner-1,1840,DonnoSo,67_feedsomeonedinner,dì:gɛ̀-pàná,dì:gɛ̀-pàná,d ¹/iː ɡ ¹/ɛ + p ¹/a n ⁵/a,,Hantgan2022,478,,,,,0
TiranigeDiga-67_feedsomeonedinner-1,1841,TiranigeDiga,67_feedsomeonedinner,yángé ~ ɲá:nígé,yángé,j ⁵/a ⁿɡ ⁵/e,,Hantgan2022,481,,,,,0
Mombo-67_feedsomeonedinner-1,1842,Mombo,67_feedsomeonedinner,páléŋgè,páléŋgè,p ⁵/a l ⁵/e + ⁿɡ ¹/e,,Hantgan2022,480,,,,,0
Penange-67_feedsomeonedinner-1,1843,Penange,67_feedsomeonedinner,ɲàmàn,ɲàmàn,ɲ ¹/a m ¹/a + n,,Hantgan2022,476,,,,,0
Fulfulde-67_feedsomeonedinner-1,1844,Fulfulde,67_feedsomeonedinner,hiiraande,hiir-aande,h iː r + aː ⁿd e,,Hantgan2022,24,,,,,1500
TomoKan-67_feedsomeonedinner-1,1845,TomoKan,67_feedsomeonedinner,dàʔà-pànà,dàʔà-pànà,d ¹/a ʔ ¹/a + p ¹/a n ¹/a,,Hantgan2022,478,,,,,0
SonghaiSenni-67_feedsomeonedinner-1,1846,SonghaiSenni,67_feedsomeonedinner,hàwr-èy,hàwr-èy,h ¹/a w r + ¹/e j,,Hantgan2022,3585,,,,,1500
Bangime-67_feedsomeonedinner-1,1847,Bangime,67_feedsomeonedinner,jììjē-hùⁿ-pɔ́wⁿ,jììjē-hùⁿ-pɔ́wⁿ,j ¹/iː j ³/e + h ¹/ũ + p ⁵/ɔ ∼/w̃,,Hantgan2022,2341,,,,,0
Bambara-67_feedsomeonedinner-1,1848,Bambara,67_feedsomeonedinner,sìfáná,sìfáná,s ¹/i + f ⁵/a n ⁵/a,,Hantgan2022,2700,,,,,17
Bambara-67_feedsomeonedinner-2,1849,Bambara,67_feedsomeonedinner,súrɔ́fáná,súrɔ́fáná,s ⁵/u r ⁵/ɔ + f ⁵/a n ⁵/a,,Hantgan2022,2700,,,,,17
Bangime-68_disease-1,1850,Bangime,68_disease,dɛ̀ɡɛ̀,dɛ̀ɡɛ̀,d ¹/ɛ ɡ ¹/ɛ,,Hantgan2022,2342,,,,,0
