# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGID	COGIDS	BORID	CONCEPT_IN_SOURCE
1869	Bunoge	DISEASE	ʔúrù	ʔúrù	ʔ ⁵/u r ¹/u	482	949	0	
1870	DonnoSo	DISEASE	lùlɔ́, jîm	lùlɔ́	l ¹/u l ⁵/ɔ	482	945	0	
1871	TiranigeDiga	DISEASE	úrú	úrú	⁵/u r ⁵/u	482	949	0	
1872	Penange	DISEASE	ùrù (y-)	ùrù	¹/u r ¹/u	482	949	0	
1873	Mombo	DISEASE	úrù	úrù	⁵/u r ¹/u	482	949	0	
1874	SonghaiSenni	DISEASE	jáŋgór-ò	jáŋgór-ò	dʒ ⁵/a ⁿɡ ⁵/o r + ¹/o	3586	5152 953	0	
1875	ToroSo	DISEASE	gíwⁿú	gíwⁿú	ɡ ⁵/i ∼/w̃ ⁵/u	486	955	0	
1876	BonduSo	DISEASE	sààmà-ŋ	sààmà-ŋ	s ¹/aː m ¹/a + ŋ	483	947 948	0	
#
1877	BozoTiemaCewe	DIVIDE	cééxú	cééxú	tʃ ⁵/e x ⁵/e ⁵/u	2704	963	0	
1878	SonghaiSenni	DIVIDE	zèmnà ~ zènnà	zèmnà	z ¹/e m + n ¹/a	3587	970 971	0	
1879	ToroTegu	DIVIDE	hélú	hélú	h ⁵/e l ⁵/u	490	973	1540	
1880	BenTey	DIVIDE	kéríyé, céríyé	kéríyé	k ⁵/e r ⁵/i + j ⁵/e	488	959 960	0	
1881	BankanTey	DIVIDE	kéríyé	kéríyé	k ⁵/e r ⁵/i + j ⁵/e	488	959 960	0	
1882	PergeTegu	DIVIDE	gàmdá	gàmdá	ɡ ¹/a m + d ⁵/a	487	961 957	1534	
1883	Gourou	DIVIDE	gàmàrⁿá, gòsó	gàmàrⁿá	ɡ ¹/a m ¹/a + ∼/r̃ ⁵/a	491	961 967	0	
1884	Jamsay	DIVIDE	gàmàrⁿá	gàmàrⁿá	ɡ ¹/a m ¹/a + ∼/r̃ ⁵/a	491	961 967	0	
1885	TogoKan	DIVIDE	gàmírⁿì	gàmírⁿì	ɡ ¹/a m ⁵/i + r̃ ¹/i	491	961 967	0	
1886	YornoSo	DIVIDE	gàmálá-	gàmálá	ɡ ¹/a m ⁵/a + l ⁵/a	491	961 967	0	
1887	TommoSo	DIVIDE	kábí-lɛ́	kábí-lɛ́	k ⁵/a b ⁵/i + l ⁵/ɛ	489	961 967	0	
1888	DogulDom	DIVIDE	kú:lɛ̀	kú:lɛ̀	k ⁵/uː l ¹/ɛ	490	959	1540	
1889	TebulUre	DIVIDE	gèr-í: (gèr-í:-tì-)	gèr-í:	ɡ ¹/e r + ⁵/iː	493	959 962	0	
1890	YandaDom	DIVIDE	gàmbúlɛ́	gàmbúlɛ́	ɡ ¹/a ⁿb ⁵/u + l ⁵/ɛ	489	961 967	0	
1891	BonduSo	DIVIDE	ká:ŋgí-y	ká:ŋgí-y	k ⁵/aː ⁿɡ ⁵/i + j	488	961 962	0	
1892	Bunoge	DIVIDE	gámbágè	gámbágè	ɡ ⁵/a ⁿb ⁵/a + ɡ ¹/e	489	961 964	0	
1893	DonnoSo	DIVIDE	gàmbìl-ɛ́:-	gàmbìl-ɛ́:	ɡ ¹/a ⁿb ¹/i l + ⁵/ɛː	489	961 962	0	
1894	TiranigeDiga	DIVIDE	úndúyó	úndúyó	⁵/u ⁿd ⁵/u + j ⁵/o	494	972 960	0	
1895	Mombo	DIVIDE	púrúgè	púrúgè	p ⁵/u r ⁵/u + ɡ ¹/e	492	968 964	1545	
1896	Penange	DIVIDE	wélágè	wélágè	w ⁵/e l ⁵/a + ɡ ¹/e	492	969 964	1545	
1897	Nanga	DIVIDE	kéríyé	kéríyé	k ⁵/e r ⁵/i + j ⁵/e	488	959 960	0	
1898	BozoTiemaCewe	DIVIDE	cɛ́tílá	cɛ́tílá	tʃ ⁵/ɛ t ⁵/i + l ⁵/a	2707	974 5154	0	
1899	Bambara	DIVIDE	táxándí	táxándí	t ⁵/a x ⁵/a + ⁿd ⁵/i	2704	963 5153	0	
1900	Bambara	DIVIDE	tílá	tílá	t ⁵/i l ⁵/a	2705	956	1540	
1901	Bambara	DIVIDE	fárá	fárá	f ⁵/a r ⁵/a	2706	975	1545	
1902	Bangime	DIVIDE	ɡùjɛ̀-ndɛ̀	ɡùjɛ̀-ndɛ̀	ɡ ¹/u j ¹/ɛ + ⁿd ¹/ɛ	2343	958 4975	1534	
1903	Fulfulde	DIVIDE	feccude	fecc-ude	f e tʃ tʃ + u d e	26	965 966	0	
1904	ToroSo	DIVIDE	gàmú-rú	gàmú-rú	ɡ ¹/a m ⁵/u + r ⁵/u	491	961 967	0	
1905	BonduSo	DIVIDE	kàànjíí	kàànjíí	k ¹/aː ⁿdʒ ⁵/iː	487	961	1534	
#
1906	SonghaiSenni	DOG	háns-ó	háns-ó	h ⁵/a n s + ⁵/o	3588	984 985	0	
1907	ToroTegu	DOG	nènú	nènú	n ¹/e n ⁵/u	498	981	1567	
1908	BenTey	DOG	ìnjɛ̌-m	ìnjɛ̌-m	¹/i ⁿdʒ ¹⁵/ɛ + m	495	976 979	0	
1909	BankanTey	DOG	ǹjèrû-m	ǹjèrû-m	ⁿdʒ ¹/e r ⁵¹/u + m	496	978 979	0	
1910	Nanga	DOG	nɛ̀rⁿî	nɛ̀rⁿî	n ¹/ɛ ∼/r̃ ⁵¹/i	501	981	1567	
1911	PergeTegu	DOG	ìšú	ìšú	¹/i ʃ ⁵/u	495	976	0	
1912	Gourou	DOG	ìzú	ìzú	¹/i z ⁵/u	495	976	0	
1913	Jamsay	DOG	ìjú	ìjú	¹/i dʒ ⁵/u	495	976	0	
1914	TogoKan	DOG	ìsí	ìsí	¹/i s ⁵/i	495	976	0	
1915	TommoSo	DOG	ìsé	ìsé	¹/i s ⁵/e	495	976	0	
1916	DogulDom	DOG	ùŋɔ́-ŋ́ (pl ùŋɔ́ⁿ yà:)	ùŋɔ́-ŋ́	¹/u ŋ ⁵/ɔ + ŋ	498	982 983	1567	
1917	TebulUre	DOG	ìnjɛ̌:	ìnjɛ̌:	¹/i ⁿdʒ ¹⁵/ɛː	495	976	0	
1918	YandaDom	DOG	ìnjɛ̀	ìnjɛ̀	¹/i ⁿdʒ ¹/ɛ	495	976	0	
1919	BonduSo	DOG	ŋ̀gwɛ̌:	ŋ̀gwɛ̌:	ⁿɡ w ¹⁵/ɛː	497	980	0	
1920	Ampari	DOG	ìjɛ́ (ìjɛ́ gè)	ìjɛ́	¹/i dʒ ⁵/ɛ	495	976	0	
1921	Bunoge	DOG	ʔínjɛ̀	ʔínjɛ̀	ʔ ⁵/i ⁿdʒ ¹/ɛ	495	976	0	
1922	DonnoSo	DOG	ìdú	ìdú	¹/i d ⁵/u	495	976	0	
1923	TomoKan	DOG	ùjù	ùjù	¹/u dʒ ¹/u	495	976	0	
1924	TiranigeDiga	DOG	í:njɛ́ ~ í:ŋgɛ́	í:njɛ́	⁵/iː ⁿdʒ ⁵/ɛ	495	976	0	
1925	Mombo	DOG	ínjɛ̀	ínjɛ̀	⁵/i ⁿdʒ ¹/ɛ	495	976	0	
1926	Penange	DOG	ŋkɛ̀	ŋkɛ̀	ⁿk ¹/ɛ	499	96	1568	
1927	Bangime	DOG	kùrɛ̀ɛ̀	kùrɛ̀ɛ̀	k ¹/u r ¹/ɛː	2344	4976	1563	
1928	Fulfulde	DOG	bilaaru	bilaaru	b i l aː r u	27	5293	0	
1929	Jenaama	DOG	kúŋgólō	kúŋgólō	k ⁵/u ⁿɡ ⁵/o l ³/o	2709	977	1563	
1930	YornoSo	DOG	ìjú	ìjú	¹/i dʒ ⁵/u	495	976	0	
1931	BozoPondorinord	DOG	muⁿnuⁿ	muⁿnuⁿ	m ũ n ũ	2710	99	1567	
1932	BozoPondorinord	DOG	koⁿgoro	koⁿgoro	k õ ɡ o r o	2709	977	1563	
1933	BozoTieyaxo	DOG	guⁿ	guⁿ	ɡ ũ	2711	977	1568	
1934	BozoTieyaxo	DOG	kuⁿgoro	kuⁿgoro	k ũ ɡ o r o	2709	977	1563	
1935	BozoTieyaxo	DOG	koⁿgoro	koⁿgoro	k õ ɡ o r o	2709	977	1563	
1936	BozoTieyaxo	DOG	ŋuⁿuⁿ	ŋuⁿuⁿ	ŋ ũ:	2712	986	1567	
1937	BozoTieyaxo	DOG	kuⁿgoo	kuⁿgoo	k ũ ɡ oː	2709	977	1563	
1938	BozoTieyaxo	DOG	kuⁿgoro	kuⁿgoro	k ũ ɡ o r o	2709	977	1563	
1939	BozoTieyaxo	DOG	kuⁿgolo	kuⁿgolo	k ũ ɡ o l o	2709	977	1563	
1940	BozoTieyaxo	DOG	wùllê	wùllê	w ¹/u l l ⁵¹/e	2708	987	0	
1941	BozoTieyaxo	DOG	wùlú	wùlú	w ¹/u l ⁵/u	2708	987	0	
1942	ToroSo	DOG	ìðú	ìðú	¹/i ð ⁵/u	495	976	0	
1943	ToroSo	DOG	ìdʒú	ìdʒú	¹/i d ʒ ⁵/u	495	976	0	
1944	BonduSo	DOG	ùnɡwɛ́ɛ́	ùnɡwɛ́ɛ́	¹/u ⁿɡ w ⁵/ɛː	497	980	0	
1945	Bambara	DOG	wùlú	wùlú	w ¹/u l ¹/u	2708	741	0	
#
1946	SonghaiSenni	DONKEY	fàrk-ò	fàrk-ò	f ¹/a r k + ¹/o	3589	1006 1007	18	
1947	ToroTegu	DONKEY	zàndúrú	zàndúrú	z ¹/a ⁿd ⁵/u + r ⁵/u	506	997 995	0	
1948	BenTey	DONKEY	súrú-bɔ̀ŋgɔ̂-m, sú-bɔ̀ŋgɔ̂-m	súrú-bɔ̀ŋgɔ̂-m	s ⁵/u r ⁵/u + b ¹/ɔ ⁿɡ ⁵¹/ɔ + m	504	990 992 993	0	
1949	BankanTey	DONKEY	dúrù-m	dúrù-m	d ⁵/u r ¹/u + m	503	990 991	0	
1950	Nanga	DONKEY	súmáŋà	súmáŋà	s ⁵/u m ⁵/a + ŋ ¹/a	508	1003 1004	0	
1951	PergeTegu	DONKEY	jàmdúrú	jàmdúrú	dʒ ¹/a ⁿd ⁵/u + r ⁵/u	506	997 995	0	
1952	Gourou	DONKEY	zàmdúrú	zàmdúrú	z ¹/a ⁿd ⁵/u + r ⁵/u	506	997 995	0	
1953	TogoKan	DONKEY	jɔ̀ⁿtúrú	jɔ̀ⁿtúrú	dʒ ɔ̃ t ⁵/u + r ⁵/u	506	997 995	0	
1954	YornoSo	DONKEY	jàmdúl	jàmdúl	dʒ ¹/a ⁿd ⁵/u + l	506	997 996	0	
1955	TommoSo	DONKEY	jàndúlú, dúlú	jàndúlú	dʒ ¹/a ⁿd ⁵/u + l ⁵/u	506	997 995	0	
1956	DogulDom	DONKEY	dúlùg (dúlùgù)	dúlùg	d ⁵/u l ¹/u + ɡ	503	990 996	0	
1957	TebulUre	DONKEY	zàmdílè	zàmdílè	z ¹/a ⁿd ⁵/i + l ¹/e	506	997 995	0	
1958	YandaDom	DONKEY	zàmdúrú ~ zàmtúrú	zàmdúrú	z ¹/a ⁿd ⁵/u + r ⁵/u	506	997 995	0	
1959	BonduSo	DONKEY	párŋgá	párŋgá	p ⁵/a r + ⁿɡ ⁵/a	505	994 989	18	
1960	Bunoge	DONKEY	kólómù	kólómù	k ⁵/o l ⁵/o + m ¹/u	502	988 995	1582	
1961	DonnoSo	DONKEY	jàŋgúrù	jàŋgúrù	dʒ ¹/a ⁿɡ ⁵/u + r ¹/u	506	997 995	0	
1962	Jamsay	DONKEY	jàndúrú ~ jàmdúrú	jàndúrú	dʒ ¹/a ⁿd ⁵/u + r ⁵/u	506	997 995	0	
1963	TomoKan	DONKEY	jòndù	jòndù	dʒ ¹/o n d ¹/u	506	1009	0	
1964	TiranigeDiga	DONKEY	kɔ́lɔ́ŋɔ̀ (Boui), kɔ́níyɔ́ (Ningo)	kɔ́lɔ́ŋɔ̀	k ⁵/ɔ l ⁵/ɔ + ŋ ¹/ɔ	502	988 1004	1582	
1965	Mombo	DONKEY	kɔ́nyɔ̀	kɔ́nyɔ̀	k ⁵/ɔ n j ¹/ɔ	507	1001	0	
1966	Penange	DONKEY	kòlò-kòlò	kòlò-kòlò	k ¹/o l ¹/o + k ¹/o l ¹/o	502	988 1005	1582	
1967	Bangime	DONKEY	kóróŋɡò	kóróŋɡò	k ⁵/o r ⁵/o + ⁿɡ ¹/o	2345	4977 4978	1582	
1968	Fulfulde	DONKEY	mbabba	mbabba	ⁿb a b b a	28	998	0	
1969	Jenaama	DONKEY	ʃēmpùwò	ʃēmp-ùwò	ʃ ³/e ⁿp + ¹/u w ¹/o	2714	999 1000	0	
1970	Soninke	DONKEY	hàrê	hàrê	h ¹/a r ⁵¹/e	2715	1008	18	
1971	ToroSo	DONKEY	jàndúrú	jàndúrú	dʒ ¹/a ⁿd ⁵/u + r ⁵/u	506	997 995	0	
1972	BonduSo	DONKEY	páráŋɡá	páráŋɡá	p ⁵/a r ⁵/a + ⁿɡ ⁵/a	505	1011 989	18	
1973	Bambara	DONKEY	fàlí	fàlí	f ¹/a l ⁵/i	2713	765	18	
#
1974	Mombo	DOOR	bô:ⁿ	bô:ⁿ	b õː	513	1023	0	
1975	Penange	DOOR	bòwⁿ	bòwⁿ	b ¹/o + w̃	513	1023 849	0	
1976	TiranigeDiga	DOOR	bówⁿ, ìmbì	bówⁿ	b ⁵/o + w̃	513	1023 849	0	
1977	Jamsay	DOOR	cɛ́wɛ́	cɛ́wɛ́	tʃ ⁵/ɛ w ⁵/ɛ	514	1017	0	
1978	PergeTegu	DOOR	cíŋgɛ̀	cíŋgɛ̀	tʃ ⁵/i ⁿɡ ¹/ɛ	510	1017	1603	
1979	ToroTegu	DOOR	gá:mú	gá:mú	ɡ ⁵/aː m ⁵/u	512	1018	0	
1980	DogulDom	DOOR	káàⁿ	káàⁿ	k ⁵¹/ãː	512	1018	0	
1981	TebulUre	DOOR	káŋgá	káŋgá	k ⁵/a ⁿɡ ⁵/a	512	1018	0	
1982	Gourou	DOOR	kɛ́wɛ́	kɛ́wɛ́	k ⁵/ɛ w ⁵/ɛ	514	1017	0	
1983	TogoKan	DOOR	kɛ́wɛ́	kɛ́wɛ́	k ⁵/ɛ w ⁵/ɛ	514	1017	0	
1984	Nanga	DOOR	kìyⁿâ	kìyⁿâ	k ¹/i j ⁵¹/a	512	1024	0	
1985	BonduSo	DOOR	níŋgú:\\níŋgí:	níŋgú:	n ⁵/i ⁿɡ ⁵/uː	510	1014	1603	
1986	YandaDom	DOOR	sáŋ	sáŋ	s ⁵/a + ŋ	515	1013 1002	0	
1987	Bunoge	DOOR	tá (tâ:)	tá	t ⁵/a	509	1013	1599	
1988	YornoSo	DOOR	tǎ:ⁿ	tǎ:ⁿ	t ¹⁵/ãː	509	1013	1599	
1989	BenTey	DOOR	ta᷈:ⁿ	ta᷈:ⁿ	t ¹⁵¹/ãː	509	1013	1599	
1990	BankanTey	DOOR	ta᷈:ⁿ	ta᷈:ⁿ	t ¹⁵¹/ãː	509	1013	1599	
1991	TommoSo	DOOR	táá	táá	t ⁵/aː	509	1013	1599	
1992	DonnoSo	DOOR	tàŋá	tàŋá	t ¹/a ŋ ⁵/a	509	1013	1599	
1993	Bangime	DOOR	mìrⁿà (1)	mìrⁿà	m ¹/i r̃ ¹/a	2346	1012	0	
1994	Fulfulde	DOOR	baafal	baafal	b aː f + a l	29	1019 1020	0	
1995	Jenaama	DOOR	kíbāwⁿ	kíbāwⁿ	k ⁵/i b ³/a + w̃	2720	1021 1022	0	
1996	BozoDebo	DOOR	togora	togora	t o ɡ o r a	2717	1015	1603	
1997	BozoHainyaxo	DOOR	lugu	lugu	l u ɡ u	2717	1016	1603	
1998	BozoKorondougounord	DOOR	kwolaguⁿ	kwolaguⁿ	k w o + l a ɡ ũ	2718	1017 1016	0	
1999	BozoKorondougousud	DOOR	kwɔlagu	kwɔlagu	k w ɔ + l a ɡ u	2718	1017 1016	0	
2000	BozoKotya	DOOR	dagu	dagu	d a ɡ u	2717	1016	1603	
2001	BozoPondorinord	DOOR	lɔⁿɔⁿ	lɔⁿɔⁿ	l ɔ̃ː	2719	1016	0	
2002	BozoPondorisud	DOOR	dɔ	dɔ	d ɔ	2716	1016	1599	
2003	BozoTieyaxo	DOOR	xɔlaa	xɔlaa	x ɔ + l aː	2719	1017 1016	0	
2004	BozoTiemaCewe	DOOR	laa	laa	l aː	2719	1016	0	
2005	TogoKan	DOOR	gìrⁿì-káⁿ	gìrⁿì-káⁿ	ɡ ¹/i r̃ ¹/i + k ⁵/ã	516	1029 5155	0	
2006	SonghaiSenni	DOOR	hó:-míy-ò	hó:míy-ò	h ⁵/oː m ⁵/i j + ¹/o	3590	1025 1026	0	
2007	ToroSo	DOOR	tááⁿ	tááⁿ	t ⁵/ãː	509	1013	1599	
2008	ToroSo	DOOR	tááŋ	tááŋ	t ⁵/aː + ŋ	509	1013 1002	1599	
2009	BonduSo	DOOR	tíŋàà	tíŋàà	t ⁵/i ŋ ¹/aː	509	1027	1599	
2010	Bambara	DOOR	dɑ	dɑ	d ɑ	2716	1016	1599	
#
2011	BankanTey	DOORPOST	òrò-mbǔ:	òrò-mbǔ:	¹/o r ¹/o + ⁿb ¹⁵/uː	518	1030 1031	0	
2012	BenTey	DOORPOST	ùrò-mǒ:	ùrò-mǒ:	¹/u r ¹/o + m ¹⁵/oː	519	1030 1031	0	
2013	DogulDom	DOORPOST	dòló	dòló	d ¹/o l ⁵/o	521	1030	0	
2014	BonduSo	DOORPOST	òlè gírì	òlè_gírì	¹/o l ¹/e + ɡ ⁵/i r ¹/i	520	1030 1032	0	
2015	Nanga	DOORPOST	ǹdò-nɔ̌:	ǹdò-nɔ̌:	ⁿd ¹/o + n ¹⁵/ɔː	517	1034 1036	1635	
2016	TebulUre	DOORPOST	ùlò-mbùgó	ùlò-mbùgó	¹/u l ¹/o + ⁿb ¹/u ɡ ⁵/o	518	1030 1040	0	
2017	TommoSo	DOORPOST	mòlìgìè áŋá	mòlìgìè_áŋá	m ¹/o l ¹/i ɡ ¹/i ¹/e + ⁵/a ŋ ⁵/a	528	1033 1042	0	
2018	ToroTegu	DOORPOST	íló-kà	íló-kà	⁵/i l ⁵/o + k ¹/a	520	1030 1039	0	
2019	YandaDom	DOORPOST	ḿbòl	ḿbòl	ⁿb ¹/o l	529	1030	0	
2020	YornoSo	DOORPOST	mɔ̀ngìlè-áŋá	mɔ̀ngìlè-áŋá	m ¹/ɔ̃ ɡ ¹/i l ¹/e + ⁵/a ŋ ⁵/a	528	1033 1042	0	
2021	Jamsay	DOORPOST	mà:-ká:	mɔ̀:ká:	m ¹/ɔː k ⁵/aː	523	1033	0	
2022	DonnoSo	DOORPOST	mòlùgúlù	mòlùgúlù	m ¹/o l ¹/u + ɡ ⁵/u l ¹/u	520	1033 1032	0	
2023	Jamsay	DOORPOST	mà:-ká:, mɔ̀:-ká:	mà:ká:	m ¹/aː k ⁵/aː	523	1033	0	
2024	TiranigeDiga	DOORPOST	ɔ̀mɔ̀	ɔ̀mɔ̀	¹/ɔ m ¹/ɔ	527	1041	0	
2025	Mombo	DOORPOST	óndólí	óndólí	⁵/o ⁿd ⁵/o + l ⁵/i	524	1034 1035	0	
2026	Penange	DOORPOST	ígódón (y-)	ígódón	⁵/i ɡ ⁵/o + d ⁵/o n	525	1037 1034	0	
2027	PergeTegu	DOORPOST	òsù-ká:	òsù-ká:	¹/o s ¹/u + k ⁵/aː	526	1038 1039	0	
2028	TogoKan	DOORPOST	gìrⁿì-káⁿ	gìrⁿì-káⁿ	ɡ ¹/i r̃ ¹/i + k ⁵/ã	520	1032 1039	0	
2029	Bangime	DOORPOST	kò-nɔ̀wⁿ	kò-nɔ̀wⁿ	k ¹/o + n ¹/ɔ w̃	2348	4979 4980	1635	
#
2030	Bangime	DOVE	wúúrɛ̀	wúúrɛ̀	w ⁵/uː r ¹/ɛ	2349	1044	0	
2031	Fulfulde	DOVE	foondumaraandu	foondu-maraandu	f oː ⁿd u + m a r aː + ⁿd u	30	1054 1055 1056	1660	
2032	SonghaiKiini	DOVE	kóŋɡéy	kóŋɡéy	k ⁵/o ⁿɡ ⁵/e + j	3591	5359 1065	1667	
2033	SonghaiSenni	DOVE	kòŋgù	kòŋgù	k ¹/o ⁿɡ ¹/u	3591	5359	1667	
2034	ToroTegu	DOVE	tùsûm	tùsûm	t ¹/u s ⁵¹/u + m	530	1045 1046	0	
2035	BenTey	DOVE	gɔ᷈:ⁿ-m	gɔ᷈:ⁿ-m	ɡ ɔ̃ː + m	531	1047 1046	0	
2036	BankanTey	DOVE	tùrùsû-m	tùrùsû-m	t ¹/u r ¹/u s ⁵¹/u + m	530	1045 1046	0	
2037	Nanga	DOVE	jà:mbá	jà:mbá	dʒ ¹/aː ⁿb ⁵/a	536	1057	0	
2038	PergeTegu	DOVE	kà-kásà	kà-kásà	k ¹/a + k ⁵/a s ¹/a	539	1047 1064	0	
2039	Jamsay	DOVE	gúmbà (domestic), kì-kájà (wild)	gúmbà	ɡ ⁵/u ⁿb ¹/a	536	1057	0	
2040	TogoKan	DOVE	pèlè gúmó	pèlè_gúmó	p ¹/e l ¹/e + ɡ ⁵/u m ⁵/o	537	1058 1051	1662	
2041	YornoSo	DOVE	gùrùmâ:	gùrùmâ:	ɡ ¹/u r ¹/u + m ⁵¹/aː	532	1048 1068	0	
2042	TommoSo	DOVE	gùrùmbáá	gùrùmbáá	ɡ ¹/u r ¹/u + ⁿb ⁵/aː	532	1048 1049	0	
2043	DogulDom	DOVE	gùlàmbá, gùlàmpá	gùlàmbá	ɡ ¹/u l ¹/a + ⁿb ⁵/a	532	1048 1049	0	
2044	TebulUre	DOVE	kágádá	kágádá	k ⁵/a ɡ ⁵/a + d ⁵/a	540	107 1066	1667	
2045	YandaDom	DOVE	gùlúmbà	gùlúmbà	ɡ ¹/u l ⁵/u + ⁿb ¹/a	532	1048 1049	0	
2046	BonduSo	DOVE	gùrmbâ:	gùrmbâ:	ɡ ¹/u r + ⁿb ⁵¹/aː	532	1048 1049	0	
2047	Bunoge	DOVE	kùnɛ̀-kúnɛ́ sǎ:mbà	kùnɛ̀-kúnɛ́_sǎ:mbà	k ¹/u n ¹/ɛ + k ⁵/u n ⁵/ɛ + s ¹⁵/aː + ⁿb ¹/a	533	1050 1051 1052 1053	0	
2048	DonnoSo	DOVE	gùlɔ̀mbɔ́	gùlɔ̀mbɔ́	ɡ ¹/u l ¹/ɔ + ⁿb ⁵/ɔ	532	1048 1049	0	
2049	TomoKan	DOVE	pèlè-búmbàlà	pèlè-búmbàlà	p ¹/e l ¹/e + b ⁵/u + ⁿb ¹/a + l ¹/a	541	1058 1049 1067 1057	0	
2050	TiranigeDiga	DOVE	gùlùmbá	gùlùmbá	ɡ ¹/u l ¹/u + ⁿb ⁵/a	532	1048 1049	0	
2051	Mombo	DOVE	dèbù gúmbá-gúmbà	dèbù_gúmbá-gúmbà	d ¹/e b ¹/u + ɡ ⁵/u ⁿb ⁵/a + ɡ ⁵/u ⁿb ¹/a	538	1061 1057 1051	0	
2052	Penange	DOVE	pólmálá:ndì (< Ful.)	pólmálá:ndì	p ⁵/o l + m ⁵/a l ⁵/aː + ⁿd ¹/i	535	1062 1063 1051	1660	
2053	Bambara	DOVE	kwee	kwee	k w eː	2722	1043	0	
2054	Jenaama	DOVE	pùlèŋkūwōⁿ	pùlèŋkūwōⁿ	p ¹/u l ¹/e + ŋ + k ³/u w ³/õ	2724	1058 1059 1060	1662	
#
2055	Fulfulde	DRINK	yarude	yar-ude	j a r + u d e	31	1072 1073	0	
2056	Jenaama	DRINK	ā-āmɛ̀wⁿ	ā-āmɛ̀wⁿ	³/a + ³/a m ¹/ɛ + w̃	2727	1074 1069 1075	0	
2057	Jamsay	DRINK	nɔ̌:	nɔ̌:	n ¹⁵/ɔː	543	1068	19	
2058	BonduSo	DRINK	nɛ́	nɛ́	n ⁵/ɛ	543	1068	19	
2059	BankanTey	DRINK	nɔ́	nɔ́	n ⁵/ɔ	543	1068	19	
2060	PergeTegu	DRINK	nɛ̌:	nɛ̌:	n ¹⁵/ɛː	543	1068	19	
2061	TogoKan	DRINK	nɔ̌:	nɔ̌:	n ¹⁵/ɔː	543	1068	19	
2062	TomoKan	DRINK	nwɛ̀:	nwɛ̀:	n w ¹/ɛː	543	1068	19	
2063	Bambara	DRINK	míⁿ	míⁿ	m ⁵/ĩ	2725	1069	19	
2064	BozoDebo	DRINK	mɛⁿ	mɛⁿ	m ∼/ɛ	2725	1069	19	
2065	BozoHainyaxo	DRINK	mɛⁿ	mɛⁿ	m ∼/ɛ	2725	1069	19	
2066	BozoKorondougounord	DRINK	mɛⁿu	mɛⁿu	m ∼/ɛ u	2725	1069	19	
2067	BozoKorondougousud	DRINK	mɛⁿoⁿ	mɛⁿoⁿ	m ∼/ɛ õ	2725	1069	19	
2068	BozoKotya	DRINK	mɛⁿ	mɛⁿ	m ∼/ɛ	2725	1069	19	
2069	BozoPondorinord	DRINK	mɛⁿ	mɛⁿ	m ∼/ɛ	2725	1069	19	
2070	BozoPondorisud	DRINK	mɛⁿ	mɛⁿ	m ∼/ɛ	2725	1069	19	
2071	BozoTieyaxo	DRINK	mɛⁿniⁿ	mɛⁿniⁿ	m ∼/ɛ n ĩ	2725	1069	19	
2072	BozoTiemaCewe	DRINK	mɛⁿ	mɛⁿ	m ∼/ɛ	2725	1069	19	
2073	SonghaiSenni	DRINK	sémbú	sémbú	s ⁵/e ⁿb ⁵/u	3592	1076	0	
2074	ToroTegu	DRINK	ní	ní	n ⁵/i	543	1068	19	
2075	BenTey	DRINK	nɔ̌	nɔ̌	n ¹⁵/ɔ	543	1068	19	
2076	Nanga	DRINK	nɔ̌:	nɔ̌:	n ¹⁵/ɔː	543	1068	19	
2077	YornoSo	DRINK	nɔ̌:-	nɔ̌:	n ¹⁵/ɔː	543	1068	19	
2078	TommoSo	DRINK	nɔ́ɔ́	nɔ́ɔ́	n ⁵/ɔː	543	1068	19	
2079	DogulDom	DRINK	nɛ̀ɛ́	nɛ̀ɛ́	n ¹⁵/ɛː	543	1068	19	
2080	TebulUre	DRINK	ɲɛ́ (ɲɛ́-tì-)	ɲɛ́	ɲ ⁵/ɛ	543	1068	19	
2081	YandaDom	DRINK	nìyⁿɛ́	nìyⁿɛ́	n ¹/i + j ⁵/ɛ	543	1068 1070	19	
2082	Ampari	DRINK	nɔ̂: (nɔ̯ɛ́, nɔ̯ɛ́:-rí)	nɔ̂:	n ⁵¹/ɔː	543	1068	19	
2083	Bunoge	DRINK	nɛ̂:	nɛ̂:	n ⁵¹/ɛː	543	1068	19	
2084	TiranigeDiga	DRINK	ɲɔ́: (Perf ɲɛ̀:-) (same as 'eat meal')	ɲɔ́:	ɲ ɔː	543	1068	19	
2085	Mombo	DRINK	nyɛ́:	nyɛ́:	n j ⁵/ɛː	543	1068	19	
2086	Penange	DRINK	nɛ́:	nɛ́:	n ⁵/ɛː	543	1068	19	
2087	Soninke	DRINK	mìní	mìní	m ¹/i n ⁵/i	2725	1069	19	
2088	Bangime	DRINK	ŋìjⁿɛ̀-rɛ̀	ŋìjⁿɛ̀-rɛ̀	ŋ ¹/i j̃ ¹/ɛ + r ¹/ɛ	2350	4981 1071	19	
2089	ToroSo	DRINK	nɔ́y	nɔ́y	n ⁵/ɔ + j	543	1068 1077	19	
2090	ToroSo	DRINK	nɔ́ɔ́	nɔ́ɔ́	n ⁵/ɔː	543	1068	19	
2091	BonduSo	DRINK	nɛ̀ɛ̀	nɛ̀ɛ̀	n ¹/ɛː	543	1068	19	
#
2092	Bangime	DRIP (FALL IN GLOBULES)	bīlà	bīlà	b ³/i l ¹/a	2351	1078	0	
