ID	DOCULECT	CONCEPT	CONCEPT_FRENCH	FAMILY	SUBGROUP	VALUE	FORM	TOKENS	COGID	COGIDS	BORID	STRATUM
2592	Nanga	FALL		Dogon	North-Eastern_Dogon	yɛ̀gɛ́	yɛ̀gɛ́	j ¹/ɛ ɡ ⁵/ɛ	641	1301	0	
2593	Jamsay	FALL		Dogon	North-Eastern_Dogon	nǔm	nǔm	n ¹⁵/u m	644	1308	0	
2594	BankanTey	FALL		Dogon	North-Eastern_Dogon	yǎ:	yǎ:	j ¹⁵/aː	641	1301	0	
2595	BenTey	FALL		Dogon	North-Eastern_Dogon	yàɣá	yàɣá	j ¹/a ɣ ⁵/a	641	1301	0	
2596	DogulDom	FALL		Dogon	South-Western_Dogon	yɛ̀gɛ́, bàgé	yɛ̀gɛ́	j ¹/ɛ ɡ ⁵/ɛ	641	1301	0	
2597	Gourou	FALL		Dogon	North-Eastern_Dogon	nùmó	nùmó	n ¹/u m ⁵/o	644	1308	0	
2598	BonduSo	FALL		Dogon	North-Western_Dogon	dɛ̀ŋɛ́	dɛ̀ŋɛ́	d ¹/ɛ ŋ ⁵/ɛ	642	1302	0	
2599	TommoSo	FALL		Dogon	South-Eastern_Dogon	nùmbó	nùmbó	n ¹/u ⁿb ⁵/o	643	1308	0	
2600	YandaDom	FALL		Dogon	North-Western_Dogon	pílé	pílé	p ⁵/i l ⁵/e	639	1314	0	
2601	YornoSo	FALL		Dogon	North-Western_Dogon	nùmɔ́	nùmɔ́	n ¹/u m ⁵/ɔ	644	1308	0	
2602	Mombo	FALL		Dogon	South-Western_Dogon	yɛ́gɛ́	yɛ́gɛ́	j ⁵/ɛ ɡ ⁵/ɛ	641	1301	0	
2603	TiranigeDiga	FALL		Dogon	South-Western_Dogon	dúmbɔ́	dúmbɔ́	d ⁵/u ⁿb ⁵/ɔ	643	1299	0	
2604	Bangime	FALL		Isolate	Isolate	tī-wɔ̀ (1)	tī-wɔ̀	t ³/i + w ¹/ɔ	2368	1299 1300	0	
2605	Fulfulde	FALL		Atlantic	North-Central_Atlantic	boɓɓaade	boɓɓ-aade	b o ɓ ɓ + aː d e	50	1306 1307	0	
2606	Jenaama	FALL		Mande	Soninke-Bozo	sēwⁿ	sēwⁿ	s ³/e + ∼/w̃	2778	1303 1309	0	
2607	Penange	FALL		Dogon	South-Western_Dogon	dú:-lɛ̀	dú:-lɛ̀	d ⁵/uː + l ¹/ɛ	640	1299 1310	0	
2608	PergeTegu	FALL		Dogon	North-Eastern_Dogon	nùmbɔ́	nùmbɔ́	n ¹/u ⁿb ⁵/ɔ	643	1308	0	
2609	TogoKan	FALL		Dogon	South-Eastern_Dogon	bàgá	bàgá	b ¹/a ɡ ⁵/a	639	1312	0	
2610	ToroTegu	FALL		Dogon	North-Eastern_Dogon	lǔw	lǔw	l ¹⁵/u w	646	1313	0	
2611	BozoHainyaxo	FALL		Mande	Soninke-Bozo	hobi	hobi	h o b i	2779	1304	0	
2612	BozoPondorinord	FALL		Mande	Soninke-Bozo	seⁿ	seⁿ	s ẽ	2778	1303	0	
2613	BozoTieyaxo	FALL		Mande	Soninke-Bozo	xe	xe	x e	2781	1303	0	
2614	BozoPondorisud	FALL		Mande	Soninke-Bozo	siⁿ	siⁿ	s ĩ	2778	1303	0	
2615	BozoKotya	FALL		Mande	Soninke-Bozo	taⁿŋa	taⁿŋa	t ã ŋ a	2777	1302	0	
2616	BozoTiemaCewe	FALL		Mande	Soninke-Bozo	ke	ke	k e	2781	1305	0	
2617	BozoDebo	FALL		Mande	Soninke-Bozo	sɛⁿ	sɛⁿ	s ∼/ɛ	2778	1303	0	
2618	BozoKorondougounord	FALL		Mande	Soninke-Bozo	seuⁿ	seuⁿ	s e ũ	2778	1303	0	
2619	BozoKorondougousud	FALL		Mande	Soninke-Bozo	seuⁿ	seuⁿ	s e ũ	2778	1303	0	
2620	Soninke	FALL		Mande	Soninke-Bozo	qénú	qénú	q ⁵/e n ⁵/u	2777	1311	0	
2621	Soninke	FALL		Mande	Soninke-Bozo	wàtí	wàtí	w ¹/a t ⁵/i	2782	1315	0	
2622	SonghaiSenni	FALL		Songhai	Eastern_Songhai	dò:rù	dò:rù	d ¹/oː r ¹/u	3608	1299	0	
2623	Bambara	FALL		Mande	Western_Mande	biⁿ	biⁿ	b ĩ	2776	1298	0	
2624	Bambara	FAR		Mande	Western_Mande	noⁿu	noⁿu	n õ u	2783	1317	0	
2625	Bambara	FAR		Mande	Western_Mande	noɣu	noɣu	n o ɣ u	2783	1316	0	
2626	Bangime	FAR		Isolate	Isolate	jùndù	jùndù	j ¹/u ⁿd ¹/u	2369	1318	0	
2627	Fulfulde	FAR		Atlantic	North-Central_Atlantic	woɗɗude	woɗɗ-ude	w o ɗ ɗ + u d e	51	1321 1322	0	
2628	Jenaama	FAR		Mande	Soninke-Bozo	dāāⁿ	dāāⁿ	d ³/ã:	2784	1323	0	
2629	ToroTegu	FAR		Dogon	North-Eastern_Dogon	wà:gá	wà:gá	w ¹/aː ɡ ⁵/a	647	1316	0	
2630	BenTey	FAR		Dogon	North-Eastern_Dogon	wa᷈:w	wa᷈:w	w ¹⁵¹/aː w	649	1316	0	
2631	BankanTey	FAR		Dogon	North-Eastern_Dogon	wⁿâ:wⁿ	wⁿâ:wⁿ	∼/w̃ ⁵¹/aː ∼/w̃	649	1316	0	
2632	Nanga	FAR		Dogon	North-Eastern_Dogon	wàgá	wàgá	w ¹/a ɡ ⁵/a	647	1316	0	
2633	Gourou	FAR		Dogon	North-Eastern_Dogon	wàɣá, wàɣá: kɔ̀	wàɣá	w ¹/a ɣ ⁵/a	647	1316	0	
2634	YornoSo	FAR		Dogon	North-Western_Dogon	wàgú	wàgú	w ¹/a ɡ ⁵/u	647	1316	0	
2635	TommoSo	FAR		Dogon	South-Eastern_Dogon	wàgé	wàgé	w ¹/a ɡ ⁵/e	647	1316	0	
2636	DogulDom	FAR		Dogon	South-Western_Dogon	wàgú-ŋ́	wàgú-ŋ́	w ¹/a ɡ ⁵/u + ŋ	647	1316 1320	0	
2637	TebulUre	FAR		Dogon	North-Western_Dogon	wàgá (invariant)	wàgá	w ¹/a ɡ ⁵/a	647	1316	0	
2638	YandaDom	FAR		Dogon	North-Western_Dogon	wàjú	wàjú	w ¹/a dʒ ⁵/u	648	1316	0	
2639	BonduSo	FAR		Dogon	North-Western_Dogon	wàgí-yè	wàgí-yè	w ¹/a ɡ ⁵/i + j ¹/e	647	1316 1319	0	
2640	Ampari	FAR		Dogon	South-Western_Dogon	wàgè (wàgè gé)	wàgè	w ¹/a ɡ ¹/e	647	1316	0	
2641	Bunoge	FAR		Dogon	South-Western_Dogon	wàgì	wàgì	w ¹/a ɡ ¹/i	647	1316	0	
2642	Jamsay	FAR		Dogon	North-Eastern_Dogon	wàɣá	wàɣá	w ¹/a ɣ ⁵/a	647	1316	0	
2643	TiranigeDiga	FAR		Dogon	South-Western_Dogon	wágá	wágá	w ⁵/a ɡ ⁵/a	647	1316	0	
2644	Mombo	FAR		Dogon	South-Western_Dogon	wágù	wágù	w ⁵/a ɡ ¹/u	647	1316	0	
2645	Penange	FAR		Dogon	South-Western_Dogon	wàgè	wàgè	w ¹/a ɡ ¹/e	647	1316	0	
2646	PergeTegu	FAR		Dogon	North-Eastern_Dogon	wàgá	wàgá	w ¹/a ɡ ⁵/a	647	1316	0	
2647	TogoKan	FAR		Dogon	South-Eastern_Dogon	wàgá	wàgá	w ¹/a ɡ ⁵/a	647	1316	0	
2648	SonghaiSenni	FAR		Songhai	Eastern_Songhai	mó:rû	mó:rû	m ⁵/oː r ⁵¹/u	3609	1324	0	
2649	ToroSo	FAR		Dogon	South-Eastern_Dogon	wàgé-wɔ́	wàgé-wɔ́	w ¹/a ɡ ⁵/e + w ⁵/ɔ	647	1316 1325	0	
2650	BonduSo	FAR		Dogon	North-Western_Dogon	wàɡù-m	wàɡù-m	w ¹/a ɡ ¹/u + m	647	1316 1320	0	
2651	Bangime	FAST		Isolate	Isolate	wáá (2)	wáá	w ⁵/aː	2370	1327	0	
2652	Fulfulde	FAST		Atlantic	North-Central_Atlantic	yaawude	yaaw-ude	j aː w + u d e	52	1336 1337	0	
2653	Jenaama	FAST		Mande	Soninke-Bozo	bààhúmā	bààhúmā	b ¹/aː h ⁵/u + m ³/a	2786	1339 1340	0	
2654	ToroTegu	FAST		Dogon	North-Eastern_Dogon	dɔ̀ymú dà ŋ́, dɔ̌y dà ŋ́	dɔ̀ymú-dà-ŋ́	d ¹/ɔ j m ⁵/u + d ¹/a + ŋ	657	1330 1344 1345	0	
2655	BenTey	FAST		Dogon	North-Eastern_Dogon	ɔ̂w	ɔ̂w	⁵¹/ɔ w	652	1328	0	
2656	BankanTey	FAST		Dogon	North-Eastern_Dogon	ɔ̂wⁿ-m	ɔ̂wⁿ-m	⁵¹/ɔ ∼/w̃ + m	652	1328 1329	0	
2657	Nanga	FAST		Dogon	North-Eastern_Dogon	ɔ́gî	ɔ́gî	⁵/ɔ ɡ ⁵¹/i	654	1338	0	
2658	Jamsay	FAST		Dogon	North-Eastern_Dogon	ɔ́gù	ɔ́gù	⁵/ɔ ɡ ¹/u	654	1338	0	
2659	TogoKan	FAST		Dogon	South-Eastern_Dogon	ɔ́gú, tèré	ɔ́gú	⁵/ɔ ɡ ⁵/u	654	1338	0	
2660	YornoSo	FAST		Dogon	North-Western_Dogon	ɔ́gú	ɔ́gú	⁵/ɔ ɡ ⁵/u	654	1338	0	
2661	DogulDom	FAST		Dogon	South-Western_Dogon	ússù-ŋ̀	ússù-ŋ̀	⁵/u s s ¹/u + ŋ	655	1333 1334	0	
2662	TebulUre	FAST		Dogon	North-Western_Dogon	ɔ́ggɔ́	ɔ́ggɔ́	⁵/ɔ ɡ ɡ ⁵/ɔ	654	1343	0	
2663	YandaDom	FAST		Dogon	North-Western_Dogon	tèl ~ tèlù, ɔ̀jú	tèl	t ¹/e l	651	1346	2141	
2664	BonduSo	FAST		Dogon	North-Western_Dogon	dwɛ̌yⁿ-yè	dwɛ̌yⁿ-yè	d w ¹⁵/ɛ ∼/j + j ¹/e	653	1330 1331	0	
2665	Bunoge	FAST		Dogon	South-Western_Dogon	jùŋgà (hot)	jùŋgà	dʒ ¹/u ⁿɡ ¹/a	654	1332	0	
2666	DonnoSo	FAST		Dogon	South-Eastern_Dogon	númɔ̀	númɔ̀	n ⁵/u m ¹/ɔ	656	1335	0	
2667	TiranigeDiga	FAST		Dogon	South-Western_Dogon	númá	númá	n ⁵/u m ⁵/a	656	1335	0	
2668	Mombo	FAST		Dogon	South-Western_Dogon	ná:gá	ná:gá	n ⁵/aː ɡ ⁵/a	654	1341	0	
2669	Penange	FAST		Dogon	South-Western_Dogon	nwá:gá (hot)	nwá:gá	n w ⁵/aː ɡ ⁵/a	654	1341	0	
2670	PergeTegu	FAST		Dogon	North-Eastern_Dogon	ɔ̂w	ɔ̂w	⁵¹/ɔ w	652	1328	0	
2671	TommoSo	FAST		Dogon	South-Eastern_Dogon	ɔ́gú	ɔ́gú	⁵/ɔ ɡ ⁵/u	654	1338	0	
2672	Bambara	FAST		Mande	Western_Mande	télí	télí	t ⁵/e l ⁵/i	2785	1326	2141	
2673	SonghaiSenni	FAST		Songhai	Eastern_Songhai	tàmbà	tàmbà	t ¹/a ⁿb ¹/a	3610	1342	0	
2674	Fulfulde	FAT (OBESE)		Atlantic	North-Central_Atlantic	ɓuttude	ɓutt-ude	ɓ u t t + u d e	53	1352 1353	0	
2675	BozoDebo	FAT (OBESE)		Mande	Soninke-Bozo	buroⁿ	buroⁿ	b u r õ	2787	1347	2162	
2676	BozoHainyaxo	FAT (OBESE)		Mande	Soninke-Bozo	bere	bere	b e r e	2787	1347	2162	
2677	BozoKorondougounord	FAT (OBESE)		Mande	Soninke-Bozo	baⁿnuⁿ	baⁿnuⁿ	b ã n ũ	2787	1352	2162	
2678	BozoKorondougousud	FAT (OBESE)		Mande	Soninke-Bozo	baⁿnuⁿ	baⁿnuⁿ	b ã n ũ	2787	1352	2162	
2679	BozoKotya	FAT (OBESE)		Mande	Soninke-Bozo	buro	buro	b u r o	2787	1347	2162	
2680	BozoPondorinord	FAT (OBESE)		Mande	Soninke-Bozo	buroⁿ	buroⁿ	b u r õ	2787	1347	2162	
2681	BozoPondorisud	FAT (OBESE)		Mande	Soninke-Bozo	buru	buru	b u r u	2787	1347	2162	
2682	Soninke	FAT (OBESE)		Mande	Soninke-Bozo	báráxàtê	báráxàtê	b ⁵/a r ⁵/a + x ¹/a t ⁵¹/e	2787	1347 1357	2162	
2683	BankanTey	FAT (OBESE)		Dogon	North-Eastern_Dogon	dómbúró-m	dómbúró-m	d ⁵/o ⁿb ⁵/u + r ⁵/o + m	661	1348 1349 1350	0	
2684	BenTey	FAT (OBESE)		Dogon	North-Eastern_Dogon	dùgú	dùgú	d ¹/u ɡ ⁵/u	659	1351	0	
2685	Bunoge	FAT (OBESE)		Dogon	South-Western_Dogon	bìgì	bìgì	b ¹/i ɡ ¹/i	660	1352	0	
2686	Gourou	FAT (OBESE)		Dogon	North-Eastern_Dogon	déméré	déméré	d ⁵/e m ⁵/e + r ⁵/e	661	1348 1349	0	
2687	BonduSo	FAT (OBESE)		Dogon	North-Western_Dogon	bìní:	bìní:	b ¹/i n ⁵/iː	658	1352	2162	
2688	Nanga	FAT (OBESE)		Dogon	North-Eastern_Dogon	démbíré	démbíré	d ⁵/e ⁿb ⁵/i + r ⁵/e	661	1348 1349	0	
2689	TebulUre	FAT (OBESE)		Dogon	North-Western_Dogon	bìnɛ́:	bìnɛ́:	b ¹/i n ⁵/ɛː	658	1352	2162	
2690	TommoSo	FAT (OBESE)		Dogon	South-Eastern_Dogon	póó	póó	p ⁵/oː	663	120	0	
2691	ToroTegu	FAT (OBESE)		Dogon	North-Eastern_Dogon	sɛ́w	sɛ́w	s ⁵/ɛ w	664	1358	0	
2692	Nanga	FAT (OBESE)		Dogon	North-Eastern_Dogon	démbíré, dùgí, ɔ̀wɔ́	démbíré	d ⁵/e ⁿb ⁵/i + r ⁵/e	661	1348 1349	0	
2693	TogoKan	FAT (OBESE)		Dogon	South-Eastern_Dogon	déméré, káŋ	déméré	d ⁵/e m ⁵/e + r ⁵/e	661	1348 1349	0	
2694	Mombo	FAT (OBESE)		Dogon	South-Western_Dogon	bállà	bállà	b ⁵/a l + l ¹/a	662	120 1349	0	
2695	Penange	FAT (OBESE)		Dogon	South-Western_Dogon	bàgàlà	bàgàlà	b ¹/a ɡ ¹/a + l ¹/a	660	120 1349	0	
2696	TiranigeDiga	FAT (OBESE)		Dogon	South-Western_Dogon	bíní	bíní	b ⁵/i n ⁵/i	658	1352	2162	
2697	Jamsay	FAT (OBESE)		Dogon	North-Eastern_Dogon	déméré, dùgú	déméré	d ⁵/e m ⁵/e + r ⁵/e	661	1348 1349	0	
2698	PergeTegu	FAT (OBESE)		Dogon	North-Eastern_Dogon	démbéré	démbéré	d ⁵/e ⁿb ⁵/e + r ⁵/e	661	1348 1349	0	
2699	YandaDom	FAT (OBESE)		Dogon	North-Western_Dogon	bǐn	bǐn	b ¹⁵/i + n	663	1352	0	
2700	YornoSo	FAT (OBESE)		Dogon	North-Western_Dogon	dùgú	dùgú	d ¹/u ɡ ⁵/u	659	1351	0	
2701	Bangime	FAT (OBESE)		Isolate	Isolate	bárⁿú (2)	bárⁿú	b ⁵/a ∼/r̃ ⁵/u	2371	119	2162	
2702	Jenaama	FAT (OBESE)		Mande	Soninke-Bozo	būrōŋ (2)	būrōŋ	b ³/u r ³/o + ŋ	2787	1347 1354	2162	
2703	SonghaiSenni	FAT (OBESE)		Songhai	Eastern_Songhai	wàrg-ò	wàrg-ò	w ¹/a r ɡ + ¹/o	3612	1355 1356	0	
2704	BonduSo	FAT (OBESE)		Dogon	North-Western_Dogon	kún	kún	k ⁵/u + n	665	1351 1359	0	
2705	Bangime	FAT (ORGANIC SUBSTANCE)		Isolate	Isolate	ɲùwⁿɛ̀	ɲùwⁿɛ̀	ɲ ¹/u ∼/w̃ ¹/ɛ	2372	121	2194	
2706	Fulfulde	FAT (ORGANIC SUBSTANCE)		Atlantic	North-Central_Atlantic	ɓellere	ɓelle-re	ɓ e l l e + r e	54	1365 1366	0	
2707	Jenaama	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	tīyɛ̄ (2)	tīyɛ̄	t ³/i j ³/ɛ	2789	1364	2212	
2708	BozoDebo	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	tiɛ	tiɛ	t i ɛ	2788	1364	27	
2709	BozoHainyaxo	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	cie	cie	tʃ i e	2788	1364	27	
2710	BozoKorondougounord	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	tiɛ	tiɛ	t i ɛ	2788	1364	27	
2711	BozoKorondougousud	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	tiɛ	tiɛ	t i ɛ	2788	1364	27	
2712	BozoKotya	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	tɛɛ	tɛɛ	t ɛ:	2788	1364	27	
2713	BozoPondorinord	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	tiɛ	tiɛ	t i ɛ	2788	1364	27	
2714	BozoPondorisud	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	tie	tie	t i e	2788	1364	27	
2715	BozoTieyaxo	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	ciɛ	ciɛ	tʃ i ɛ	2788	1364	27	
2716	BozoTiemaCewe	FAT (ORGANIC SUBSTANCE)		Mande	Soninke-Bozo	tiɛ	tiɛ	t i ɛ	2788	1364	27	
2717	SonghaiSenni	FAT (ORGANIC SUBSTANCE)		Songhai	Eastern_Songhai	má:n-ó	má:n-ó	m ⁵/aː n + ⁵/o	3613	1367 1368	0	
2718	TommoSo	FAT (ORGANIC SUBSTANCE)		Dogon	South-Eastern_Dogon	nàmà síyé	nàmà_síyé	n ¹/a m ¹/a + s ⁵/i j ⁵/e	670	1369 1360	2194	
2719	TogoKan	FAT (ORGANIC SUBSTANCE)		Dogon	South-Eastern_Dogon	nɔ̀wⁿɔ̀-síwé	nɔ̀wⁿɔ̀-síwé	n ¹/ɔ ∼/w̃ ¹/ɔ + s ⁵/i w ⁵/e	670	1363 1360	2194	
2720	Penange	FAT (ORGANIC SUBSTANCE)		Dogon	South-Western_Dogon	nù:	nù:	n ¹/uː	667	1363	2194	
2721	YandaDom	FAT (ORGANIC SUBSTANCE)		Dogon	North-Western_Dogon	sɔ́ŋɔ̀	sɔ́ŋɔ̀	s ⁵/ɔ ŋ ¹/ɔ	671	1370	0	
2722	TebulUre	FAT (ORGANIC SUBSTANCE)		Dogon	North-Western_Dogon	sé:	sé:	s ⁵/eː	666	1360	27	
2723	Jamsay	FAT (ORGANIC SUBSTANCE)		Dogon	North-Eastern_Dogon	sê:	sê:	s ⁵¹/eː	666	1360	27	
2724	DonnoSo	FAT (ORGANIC SUBSTANCE)		Dogon	South-Eastern_Dogon	sê:ⁿ	sê:ⁿ	s ⁵¹/eː̃	666	1360	27	
2725	YornoSo	FAT (ORGANIC SUBSTANCE)		Dogon	North-Western_Dogon	sî:	sî:	s ⁵¹/iː	666	1360	27	
2726	BenTey	FAT (ORGANIC SUBSTANCE)		Dogon	North-Eastern_Dogon	sî:ⁿ	sî:ⁿ	s ⁵¹/ĩ:	666	1360	27	
2727	BankanTey	FAT (ORGANIC SUBSTANCE)		Dogon	North-Eastern_Dogon	sî:ⁿ	sî:ⁿ	s ⁵¹/ĩ:	666	1360	27	
2728	DogulDom	FAT (ORGANIC SUBSTANCE)		Dogon	South-Western_Dogon	sî:ⁿ	sî:ⁿ	s ⁵¹/ĩ:	666	1360	27	
2729	BonduSo	FAT (ORGANIC SUBSTANCE)		Dogon	North-Western_Dogon	sî:-ŋgò\\sî:	sî:-ŋgò	s ⁵¹/iː + ⁿɡ ¹/o	666	1360 1361	27	
2730	DogulDom	FAT (ORGANIC SUBSTANCE)		Dogon	South-Western_Dogon	síìŋ	síìŋ	s ⁵¹/iː + ŋ	666	1360 1371	27	
2731	ToroTegu	FAT (ORGANIC SUBSTANCE)		Dogon	North-Eastern_Dogon	síwó	síwó	s ⁵/i w ⁵/o	666	1360	27	
2732	Mombo	FAT (ORGANIC SUBSTANCE)		Dogon	South-Western_Dogon	síwó	síwó	s ⁵/i w ⁵/o	666	1360	27	
2733	Bunoge	FAT (ORGANIC SUBSTANCE)		Dogon	South-Western_Dogon	sìwò	sìwò	s ¹/i w ¹/o	666	1360	27	
2734	Ampari	FAT (ORGANIC SUBSTANCE)		Dogon	South-Western_Dogon	sìwò (sìwò gé)	sìwò-gé	s ¹/i w ¹/o + ɡ ⁵/e	666	1360 1361	27	
2735	PergeTegu	FAT (ORGANIC SUBSTANCE)		Dogon	North-Eastern_Dogon	šíyè	šíyè	ʃ ⁵/i j ¹/e	668	1360	2212	
2736	Nanga	FAT (ORGANIC SUBSTANCE)		Dogon	North-Eastern_Dogon	síyⁿɛ̂	síyⁿɛ̂	s ⁵/i ∼/j ¹⁵/ɛ	668	1360	2212	
2737	TiranigeDiga	FAT (ORGANIC SUBSTANCE)		Dogon	South-Western_Dogon	sìyò	sìyò	s ¹/i j ¹/o	668	1360	2212	
2738	TomoKan	FAT (ORGANIC SUBSTANCE)		Dogon	South-Eastern_Dogon	swé:	swé:	s w ⁵/eː	666	1360	27	
2740	Bambara	FAT (ORGANIC SUBSTANCE)		Mande	Western_Mande	túlú	túlú	t ⁵/u l ⁵/u	2788	1362	27	
2741	ToroSo	FAT (ORGANIC SUBSTANCE)		Dogon	South-Eastern_Dogon	síí	síí	s ⁵/iː	666	1360	27	
2742	BonduSo	FAT (ORGANIC SUBSTANCE)		Dogon	North-Western_Dogon	síí-ŋ	síí-ŋ	s ⁵/iː + ŋ	666	1360 1371	27	
2743	Fulfulde	FATHER		Atlantic	North-Central_Atlantic	abbiraaɗo	abbi-raaɗo	a b b i + r aː ɗ o	55	1372 1374	0	
2744	SonghaiSenni	FATHER		Songhai	Eastern_Songhai	bà:bè	bà:bè	b ¹/aː b ¹/e	3614	1375	2226	
2745	SonghaiKiini	FATHER		Songhai	Eastern_Songhai	bɛ̀bɛ̀	bɛ̀bɛ̀	b ¹/ɛ b ¹/ɛ	3614	1375	2226	
2746	Bangime	FATHER		Isolate	Isolate	bɔ̀w	bɔ̀w	b ¹/ɔ w	2373	129	2226	
2747	Jamsay	FATHER		Dogon	North-Eastern_Dogon	dě:	dě:	d ¹⁵/eː	673	1373	0	
2748	Bunoge	FATHER		Dogon	South-Western_Dogon	bàw	bàw	b ¹/a w	672	1372	2226	
2749	DogulDom	FATHER		Dogon	South-Western_Dogon	ǹdé:	ǹdé:	ⁿd ⁵/eː	673	1373	0	
2750	BonduSo	FATHER		Dogon	North-Western_Dogon	bǎ:	bǎ:	b ¹⁵/aː	672	1372	2226	
2751	TebulUre	FATHER		Dogon	North-Western_Dogon	bá	bá	b ⁵/a	672	1372	2226	
2752	TogoKan	FATHER		Dogon	South-Eastern_Dogon	dè-dé:	dè-dé:	d ¹/e + d ⁵/eː	673	1373 1376	0	
2753	TommoSo	FATHER		Dogon	South-Eastern_Dogon	báá	báá	b ⁵/aː	672	1372	2226	
2754	YandaDom	FATHER		Dogon	North-Western_Dogon	dè:	dè:	d ¹/eː	673	1373	0	
2755	Mombo	FATHER		Dogon	South-Western_Dogon	bá:	bá:	b ⁵/aː	672	1372	2226	
2756	Penange	FATHER		Dogon	South-Western_Dogon	bɔ̀bɔ̀	bɔ̀bɔ̀	b ¹/ɔ b ¹/ɔ	672	1372	2226	
2757	TiranigeDiga	FATHER		Dogon	South-Western_Dogon	bà:	bà:	b ¹/aː	672	1372	2226	
2758	BenTey	FATHER		Dogon	North-Eastern_Dogon	bɔ̌:	bɔ̌:	b ¹⁵/ɔː	672	1372	2226	
2759	ToroTegu	FATHER		Dogon	North-Eastern_Dogon	bá	bá	b ⁵/a	672	1372	2226	
2760	Nanga	FATHER		Dogon	North-Eastern_Dogon	bǎ:	bǎ:	b ¹⁵/aː	672	1372	2226	
2761	BankanTey	FATHER		Dogon	North-Eastern_Dogon	bɔ̌:	bɔ̌:	b ¹⁵/ɔː	672	1372	2226	
2762	YornoSo	FATHER		Dogon	North-Western_Dogon	bá:	bá:	b ⁵/aː	672	1372	2226	
2763	PergeTegu	FATHER		Dogon	North-Eastern_Dogon	bǎ:	bǎ:	b ¹⁵/aː	672	1372	2226	
2764	Soninke	FATHER		Mande	Soninke-Bozo	hààbá	hààbá	h ¹/a: b ⁵/a	2790	1375	2226	
2765	Bangime	FEAR (BE AFRAID)		Isolate	Isolate	pìrⁿà	pìrⁿà	p ¹/i ∼/r̃ ¹/a	2374	1377	0	
2766	Fulfulde	FEAR (BE AFRAID)		Atlantic	North-Central_Atlantic	hulude	hul-ude	h u l + u d e	56	1385 1386	0	
2767	Jenaama	FEAR (BE AFRAID)		Mande	Soninke-Bozo	kwàⁿ (2)	kwàⁿ	k w ã	2792	1381	0	
2768	Jamsay	FEAR (BE AFRAID)		Dogon	North-Eastern_Dogon	lɛ́:	lɛ́:	l ⁵/ɛː	680	1379	0	
2769	BonduSo	FEAR (BE AFRAID)		Dogon	North-Western_Dogon	íbí-yɛ́	íbí-yɛ́	⁵/i b ⁵/i + j ⁵/ɛ	677	1378 1380	0	
2770	Soninke	FEAR (BE AFRAID)		Mande	Soninke-Bozo	kànú	kànú	k ¹/a n ⁵/u	2793	1381	0	
2771	SonghaiSenni	FEAR (BE AFRAID)		Songhai	Eastern_Songhai	hámbúrú	hámbúrú	h ⁵/a ⁿb ⁵/u + r ⁵/u	3615	1389 1390	0	
2772	ToroTegu	FEAR (BE AFRAID)		Dogon	North-Eastern_Dogon	líw	líw	l ⁵/i w	680	1382	0	
2773	BenTey	FEAR (BE AFRAID)		Dogon	North-Eastern_Dogon	ú:-yí	ú:yí	⁵/uː j ⁵/i	676	1379	0	
2774	BankanTey	FEAR (BE AFRAID)		Dogon	North-Eastern_Dogon	ú:wí	ú:wí	⁵/uː w ⁵/i	675	1378	0	
2775	Nanga	FEAR (BE AFRAID)		Dogon	North-Eastern_Dogon	ú:-yí, ùwá	ú:yí	⁵/uː j ⁵/i	676	1379	0	
2776	PergeTegu	FEAR (BE AFRAID)		Dogon	North-Eastern_Dogon	lɛ́:	lɛ́:	l ⁵/ɛː	680	1379	0	
2777	TogoKan	FEAR (BE AFRAID)		Dogon	South-Eastern_Dogon	líw-ì://líwɛ́, líy-ì://líyɛ́	líw-ì:	l ⁵/i w ¹/iː	680	1382	0	
2778	YornoSo	FEAR (BE AFRAID)		Dogon	North-Western_Dogon	lɛ́:	lɛ́:	l ⁵/ɛː	680	1379	0	
2779	TommoSo	FEAR (BE AFRAID)		Dogon	South-Eastern_Dogon	níŋí-yɛ́	níŋí-yɛ́	n ⁵/i ŋ ⁵/i + j ⁵/ɛ	683	1382 1380	0	
2780	DogulDom	FEAR (BE AFRAID)		Dogon	South-Western_Dogon	ú:g-yɛ̀	ú:g-yɛ̀	⁵/uː ɡ + j ¹/ɛ	678	1378 1380	0	
2781	TebulUre	FEAR (BE AFRAID)		Dogon	North-Western_Dogon	ír-í: (ír-í:-yà-)	ír-í:	⁵/i r ⁵/iː	674	1391	0	
2782	YandaDom	FEAR (BE AFRAID)		Dogon	North-Western_Dogon	íbí-yɛ́	íbí-yɛ́	⁵/i b ⁵/i + j ⁵/ɛ	677	1378 1380	0	
2783	Bunoge	FEAR (BE AFRAID)		Dogon	South-Western_Dogon	díwɛ̀	díwɛ̀	d ⁵/i w ¹/ɛ	675	1382	0	
